Source,Unit,Year,Invdate.fuels,Invdate.trees,Timestep,PlotID,InvID.fuels,count.ha_Live_ABCO,count.ha_Live_CADE,count.ha_Live_LIDE,count.ha_Live_OTHER,count.ha_Live_PILA,count.ha_Live_PIPO,count.ha_Live_PSME,count.ha_Live_QUKE,count.ha_Live_(all),count.ha_Snag_ABCO,count.ha_Snag_CADE,count.ha_Snag_LIDE,count.ha_Snag_OTHER,count.ha_Snag_PILA,count.ha_Snag_PIPO,count.ha_Snag_PSME,count.ha_Snag_QUKE,count.ha_Snag_(all),count.ha_(all)_(all),BA.mha.sum_Live_ABCO,BA.mha.sum_Live_CADE,BA.mha.sum_Live_LIDE,BA.mha.sum_Live_OTHER,BA.mha.sum_Live_PILA,BA.mha.sum_Live_PIPO,BA.mha.sum_Live_PSME,BA.mha.sum_Live_QUKE,BA.mha.sum_Live_(all),BA.mha.sum_Snag_ABCO,BA.mha.sum_Snag_CADE,BA.mha.sum_Snag_LIDE,BA.mha.sum_Snag_OTHER,BA.mha.sum_Snag_PILA,BA.mha.sum_Snag_PIPO,BA.mha.sum_Snag_PSME,BA.mha.sum_Snag_QUKE,BA.mha.sum_Snag_(all),BA.mha.sum_(all)_(all),pBA_Live_ABCO,pBA_Live_CADE,pBA_Live_LIDE,pBA_Live_OTHER,pBA_Live_PILA,pBA_Live_PIPO,pBA_Live_PSME,pBA_Live_QUKE,pBA_Live_(all),pBA_Snag_ABCO,pBA_Snag_CADE,pBA_Snag_LIDE,pBA_Snag_OTHER,pBA_Snag_PILA,pBA_Snag_PIPO,pBA_Snag_PSME,pBA_Snag_QUKE,pBA_Snag_(all),pBA_(all)_(all),pBA_ABCO_(all),pBA_CADE_(all),pBA_LIDE_(all),pBA_OTHER_(all),pBA_PILA_(all),pBA_PIPO_(all),pBA_PSME_(all),pBA_QUKE_(all),fuelload_litter_tonha,fuelload_duff_tonha,fuelload_litterduff_tonha,fuelload_1h_tonha,fuelload_10h_tonha,fuelload_100h_tonha,fuelload_1000s_tonha,fuelload_1000r_tonha,fuelload_1000h_tonha,fuelload_1.100h_tonha,fuelload_1.1000h_tonha,fuelload_total_tonha,fuelload_surface_tonha,Treatment,disturbance
BFRS,60,2016,8/10/16,8/10/16,Post_14,0060-00109,7078,49.41932296,49.41932296,0,0,0,49.41932296,49.41932296,0,197.6772918,0,24.70966148,0,0,0,0,0,0,24.70966148,222.3869533,18.26413148,8.54366154,0,0,0,24.33710889,15.43348095,0,66.57838286,0,1.227141093,0,0,0,0,0,0,1.227141093,67.80552395,0.269360524,0.126002441,0,0,0,0.358925165,0.227613918,0,0.981902048,0,0.018097952,0,0,0,0,0,0,0.018097952,1,0.269360524,0.144100393,0,0,0,0.358925165,0.227613918,0,40.667612,12.00023797,86.26580241,0.558320582,1.910691444,0,8.47782914,19.7991986,28.27702774,2.469012026,30.74603977,83.41388973,71.41365176,Burn,None
FFS,60,2010,6/10/10,6/10/10,Post_8,0060-00109,20100660109,49.41932296,49.41932296,0,0,0,49.41932296,49.41932296,0,197.6772918,24.70966148,74.12898443,0,0,0,0,24.70966148,0,123.5483074,321.2255992,16.223023,7.624009599,0,0,0,20.9237096,14.03890969,0,58.80965189,3.929901855,1.992896896,0,0,0,0,0.541239668,0,6.46403842,65.27369031,0.248538468,0.116800652,0,0,0,0.320553496,0.215077616,0,0.900970232,0.060206522,0.030531396,0,0,0,0,0.00829185,0,0.099029768,1,0.30874499,0.147332048,0,0,0,0.320553496,0.223369466,0,11.90462875,25.54118704,45.98794107,0.244119232,0.494931921,0,1.47701755,0,1.47701755,0.739051153,2.216068703,39.66188449,14.12069745,Burn,None
FFS,60,2001,8/8/01,6/1/01,Pretreatment,0060-00113,20010860113,98.83864591,0,0,0,0,24.70966148,24.70966148,0,148.2579689,0,0,0,0,0,0,0,0,0,148.2579689,17.59427734,0,0,0,0,11.56621544,6.173264497,0,35.33375729,0,0,0,0,0,0,0,0,0,35.33375729,0.497945271,0,0,0,0,0.327341792,0.174712937,0,1,0,0,0,0,0,0,0,0,0,1,0.497945271,0,0,0,0,0.327341792,0.174712937,0,15.28281693,25.29205836,52.97383683,1.861200059,11.39460694,9.578690615,6.289609737,14.7950644,21.08467414,22.83449761,43.91917175,84.49404704,59.20198868,Burn,None
FFS,60,2003,7/7/03,6/1/03,Post_1,0060-00113,20030760113,98.83864591,0,0,0,0,24.70966148,24.70966148,0,148.2579689,0,0,0,0,0,0,0,0,0,148.2579689,19.32933387,0,0,0,0,11.8071718,6.173264497,0,37.30977016,0,0,0,0,0,0,0,0,0,37.30977016,0.518077002,0,0,0,0,0.316463268,0.16545973,0,1,0,0,0,0,0,0,0,0,0,1,0.518077002,0,0,0,0,0.316463268,0.16545973,0,3.871409604,7.241818873,14.18886607,0.423936207,1.621558273,1.588578882,0,0,0,3.634073362,3.634073362,14.74730184,7.505482965,Burn,None
FFS,60,2003,2/10/03,6/1/03,Post_burn1,0060-00113,20030260113,98.83864591,0,0,0,0,24.70966148,24.70966148,0,148.2579689,0,0,0,0,0,0,0,0,0,148.2579689,19.32933387,0,0,0,0,11.8071718,6.173264497,0,37.30977016,0,0,0,0,0,0,0,0,0,37.30977016,0.518077002,0,0,0,0,0.316463268,0.16545973,0,1,0,0,0,0,0,0,0,0,0,1,0.518077002,0,0,0,0,0.316463268,0.16545973,0,3.871409604,7.241818873,14.18886607,0.329728161,2.162077698,0,0,0,0,2.491805858,2.491805858,13.60503434,6.363215462,Burn,Burn
FFS,60,2009,10/22/09,6/1/09,Post_burn2,0060-00113,20091060113,49.41932296,0,0,0,0,24.70966148,24.70966148,0,98.83864591,24.70966148,0,0,0,0,0,0,0,24.70966148,123.5483074,14.96322261,0,0,0,0,13.08106161,8.55643461,0,36.60071883,5.513293275,0,0,0,0,0,0,0,5.513293275,42.1140121,0.355302709,0,0,0,0,0.310610672,0.203173105,0,0.869086487,0.130913513,0,0,0,0,0,0,0,0.130913513,1,0.486216223,0,0,0,0,0.310610672,0.203173105,0,3.85898571,0,7.05212016,0.170927553,0,0,18.71123206,0,18.71123206,0.170927553,18.88215961,22.74114532,22.74114532,Burn,Burn2
BFRS,60,2016,11/14/17,8/9/16,Post_burn3,0060-00113,20171160113,49.41932296,0,0,0,0,24.70966148,24.70966148,0,98.83864591,0,0,0,0,0,0,0,0,0,98.83864591,17.88000038,0,0,0,0,15.60175742,10.67553904,0,44.15729684,0,0,0,0,0,0,0,0,0,44.15729684,0.404916099,0,0,0,0,0.353322294,0.241761607,0,1,0,0,0,0,0,0,0,0,0,1,0.404916099,0,0,0,0,0.353322294,0.241761607,0,17.37457103,10.71678041,43.28924304,1.670908485,7.169936652,8.104715142,0,24.40841695,24.40841695,16.94556028,41.35397723,69.44532867,58.72854826,Burn,Burn3
FFS,60,2009,6/1/09,6/1/09,Post_7,0060-00113,20090660113,49.41932296,0,0,0,0,24.70966148,24.70966148,0,98.83864591,24.70966148,0,0,0,0,0,0,0,24.70966148,123.5483074,14.96322261,0,0,0,0,13.08106161,8.55643461,0,36.60071883,5.513293275,0,0,0,0,0,0,0,5.513293275,42.1140121,0.355302709,0,0,0,0,0.310610672,0.203173105,0,0.869086487,0.130913513,0,0,0,0,0,0,0,0.130913513,1,0.486216223,0,0,0,0,0.310610672,0.203173105,0,13.50644999,7.20768857,31.73454072,0.470050772,4.969535157,1.616287868,1.947058487,0,1.947058487,7.055873797,9.002932284,29.71707084,22.50938227,Burn,None
BFRS,60,2016,8/9/16,8/9/16,Post_14,0060-00113,7081,49.41932296,0,0,0,0,24.70966148,24.70966148,0,98.83864591,0,0,0,0,0,0,0,0,0,98.83864591,17.88000038,0,0,0,0,15.60175742,10.67553904,0,44.15729684,0,0,0,0,0,0,0,0,0,44.15729684,0.404916099,0,0,0,0,0.353322294,0.241761607,0,1,0,0,0,0,0,0,0,0,0,1,0.404916099,0,0,0,0,0.353322294,0.241761607,0,6.968117435,6.351478521,19.35202321,0.245721836,3.033434737,11.3466012,0,32.90871491,32.90871491,14.62575777,47.53447268,60.85406863,54.50259011,Burn,None
FFS,60,2010,6/11/10,6/11/10,Post_8,0060-00113,20100660113,49.41932296,0,0,0,0,24.70966148,24.70966148,0,98.83864591,24.70966148,0,0,0,0,0,0,0,24.70966148,123.5483074,14.96322261,0,0,0,0,13.08106161,8.55643461,0,36.60071883,5.513293275,0,0,0,0,0,0,0,5.513293275,42.1140121,0.355302709,0,0,0,0,0.310610672,0.203173105,0,0.869086487,0.130913513,0,0,0,0,0,0,0,0.130913513,1,0.486216223,0,0,0,0,0.310610672,0.203173105,0,7.717971421,3.603844285,17.6303004,0.598246437,0.248476758,1.616287868,51.44128522,0,51.44128522,2.463011062,53.90429628,65.22611199,61.6222677,Burn,None
